Event id,Trip id,DSS IVS,Event time (local),Local UTC offset (minutes),Type,Detected type,Duration (sec),Speed (kph),Speed (mph),Distance covered (metres),Distance covered (feet),Confirmation,Sub-type,Confirmed by,Confirmation time,Bearing (degrees),GPIO alert,Audio alert,Trip start time,Time into trip (minutes),Trip distance (kms),Trip distance (miles)
101455206,10110126,P04025-S00000901,1/9/17 4:11,480,distraction,glance_away,4.15,90,56,104,340,false positive,acceptable driving,Zarifah,1/9/17 4:13,192,No,No,1/9/17 3:02,69,58,36
120687024,11821196,Unit001,23/10/17 13:39,480,distraction,glance_away,7.82,66,41,144,473,false positive,acceptable driving,Heather,23/10/17 13:40,5,No,No,43031.53,56,62,39
120709428,11821196,Unit001,23/10/17 14:52,480,distraction,glance_away,5.32,76,47,112,367,false positive,eyewear interference,Katelyn,23/10/17 14:58,334,No,No,43031.53,129,155,96
101486806,10114918,P04025-S00008445,1/9/17 6:14,480,distraction,glance_away,6.42,76,47,136,445,false positive,eyewear interference,Zarifah,1/9/17 6:41,9,No,No,1/9/17 5:34,40,37,23
101521183,10114368,P01020-S00000038,1/9/17 7:26,480,distraction,glance_away,5.22,90,56,131,429,false positive,acceptable driving,John,1/9/17 9:12,179,No,No,1/9/17 6:06,80,99,62
121138891,11821196,Unit001,23/10/17 19:59,480,distraction,glance_away,6.1,92,57,156,513,false positive,acceptable driving,Andrew Valenzuela,24/10/17 14:16,196,No,No,43031.53,437,474,294
127142771,12376965,Unit001,7/11/17 13:40,480,distraction,glance_away,4.47,72,45,89,293,false positive,acceptable driving,Pidok,7/11/17 14:11,40,No,No,43046.54,49,56,35
101513013,10115920,P04025-S00001169,1/9/17 8:38,480,distraction,glance_down,6.33,92,57,161,529,false positive,acceptable driving,John,1/9/17 8:42,0,No,No,1/9/17 6:39,120,156,97
127230788,12383879,Unit001,7/11/17 17:11,480,distraction,glance_away,5.38,90,56,135,443,false positive,acceptable driving,Will,7/11/17 17:13,69,No,No,43046.69,41,47,29
127297805,12388332,Unit001,7/11/17 19:51,480,distraction,glance_away,7.8,91,57,197,648,false positive,acceptable driving,Richard,7/11/17 19:59,80,No,No,43046.78,68,101,63
129254992,12549811,Unit001,11/11/17 14:52,480,distraction,glance_away,4.23,89,55,104,342,false positive,eyewear interference,Stefanie Mendoza,11/11/17 14:54,360,No,No,43050.45,245,250,156
101526842,10117492,P04025-S00000947,1/9/17 9:31,480,distraction,glance_away,4.23,91,57,107,352,false positive,acceptable driving,John,1/9/17 9:34,270,Yes,Yes,1/9/17 8:26,65,56,35
101564545,10118354,P04025-S00006908,1/9/17 10:40,480,distraction,glance_away,4.93,91,56,124,408,false positive,acceptable driving,John,1/9/17 11:58,234,No,No,1/9/17 9:01,98,134,83
101552999,10120951,P04025-S00001169,1/9/17 11:10,480,distraction,glance_down,4.38,104,65,127,416,false positive,acceptable driving,John,1/9/17 11:12,0,No,No,1/9/17 10:47,23,30,19
129336659,12556942,Unit001,11/11/17 19:49,480,distraction,glance_away,4.45,87,54,107,352,false positive,acceptable driving,Stefanie Mendoza,11/11/17 19:51,178,No,No,43050.68,205,164,102
101560948,10122239,P04025-S00008606,1/9/17 11:40,480,distraction,glance_down,4.55,88,55,111,365,false positive,acceptable driving,John,1/9/17 11:44,216,No,No,1/9/17 10:07,93,135,84
101572115,10120951,P04025-S00001169,1/9/17 12:01,480,distraction,glance_down,8.8,94,58,229,751,false positive,acceptable driving,John,1/9/17 12:29,1,No,No,1/9/17 10:47,73,109,67
101580162,10119964,P04025-S00008517,1/9/17 12:01,480,distraction,glance_down,5.03,90,56,126,415,false positive,acceptable driving,John,1/9/17 12:58,346,Yes,Yes,1/9/17 10:04,117,100,62
129654451,12584288,Unit001,12/11/17 17:08,480,distraction,glance_away,4.5,91,57,114,374,false positive,acceptable driving,Andrew Valenzuela,12/11/17 17:09,204,No,No,43051.64,100,123,77
130340579,12644110,Unit001,14/11/17 6:00,480,fatigue,fatigue,2.12,90,56,53,173,false positive,acceptable driving,Benjamin,14/11/17 6:04,179,Yes,Yes,43053.22,44,22,14
101592679,10124058,P04025-S00008517,1/9/17 13:48,480,distraction,glance_down,6.53,84,52,153,502,false positive,eyewear interference,Stefanie Mendoza,1/9/17 13:49,334,Yes,Yes,1/9/17 12:56,52,64,40
130349020,12644110,Unit001,14/11/17 6:22,480,fatigue,fatigue,2.4,15,9,10,32,false positive,acceptable driving,Benjamin,14/11/17 6:23,236,Yes,Yes,43053.22,65,47,29
101475292,10112669,Unit075,1/9/17 5:41,480,distraction,fatigue,1.63,79,49,36,117,verified,distracted driving,Analyst 18,1/9/17 5:42,188,Yes,Yes,1/9/17 5:04,36,6,4
130431519,12644110,Unit001,14/11/17 10:00,480,fatigue,fatigue,3.07,38,24,32,106,false positive,eyewear interference,Heather,14/11/17 10:05,279,Yes,Yes,43053.22,284,97,60
130431690,12644110,Unit001,14/11/17 10:00,480,fatigue,fatigue,10.25,43,27,122,399,false positive,acceptable driving,Heather,14/11/17 10:05,277,Yes,Yes,43053.22,284,97,60
130492945,12655646,Unit001,14/11/17 12:44,480,fatigue,fatigue,7.67,80,50,171,560,false positive,eyewear interference,Heather,14/11/17 12:49,21,Yes,Yes,43053.45,110,108,67
101614528,10127324,P04025-S00008430,1/9/17 15:16,480,distraction,glance_away,4.15,62,38,71,234,false positive,acceptable driving,John,1/9/17 15:18,66,No,No,1/9/17 15:14,2,1,1
130521505,12655646,Unit001,14/11/17 14:02,480,distraction,glance_away,10.18,84,52,239,783,false positive,system error,Heather,14/11/17 14:04,90,No,No,43053.45,188,218,135
101634620,10121714,P04025-S00008556,1/9/17 15:29,480,fatigue,fatigue,2.1,89,56,52,171,false positive,acceptable driving,John,1/9/17 16:43,202,Yes,Yes,1/9/17 11:19,250,370,230
101618111,10120317,P04025-S00008634,1/9/17 15:30,480,distraction,glance_away,6.1,95,59,161,527,false positive,acceptable driving,John,1/9/17 15:35,26,No,No,1/9/17 10:19,311,402,250
101630137,10127492,P04025-S00000529,1/9/17 16:18,480,fatigue,fatigue,2.3,88,55,56,184,false positive,eyewear interference,John,1/9/17 16:25,225,Yes,Yes,1/9/17 15:21,56,81,50
101642040,10125765,P04025-S00008606,1/9/17 16:31,480,distraction,glance_down,6.83,53,33,101,333,false positive,acceptable driving,John,1/9/17 17:14,210,No,No,1/9/17 14:10,142,181,113
130521698,12655646,Unit001,14/11/17 14:03,480,distraction,glance_away,10.92,80,50,243,796,false positive,eyewear interference,Heather,14/11/17 14:21,90,No,No,43053.45,188,218,135
130529884,12655646,Unit001,14/11/17 14:25,480,fatigue,fatigue,15.65,92,57,400,1311,false positive,eyewear interference,Heather,14/11/17 15:30,360,Yes,Yes,43053.45,211,249,155
101682877,10125311,P04025-S00000881,1/9/17 20:11,480,distraction,glance_away,5.35,94,58,139,457,false positive,acceptable driving,andrew,1/9/17 20:13,139,No,No,1/9/17 13:51,379,487,303
130559333,12655646,Unit001,14/11/17 15:47,480,fatigue,fatigue,8.03,90,56,202,661,false positive,eyewear interference,Heather,14/11/17 16:01,180,Yes,Yes,43053.45,293,284,177
101800696,10133623,P04025-S00008430,1/9/17 21:38,480,distraction,glance_away,4.32,91,57,109,358,false positive,acceptable driving,andrew,2/9/17 5:24,227,No,No,1/9/17 20:07,91,135,84
130595294,12655646,Unit001,14/11/17 17:30,480,fatigue,fatigue,6.68,90,56,168,551,false positive,eyewear interference,Heather,14/11/17 17:34,145,Yes,Yes,43053.45,396,373,232
101825065,10144438,P04025-S00001233,2/9/17 7:16,480,distraction,glance_away,8.33,79,49,183,600,false positive,system error,Katelyn,2/9/17 7:20,39,No,No,2/9/17 5:46,91,7,4
101825595,10144372,P04025-S00004263,2/9/17 7:18,480,distraction,glance_down,7.07,91,57,179,587,false positive,acceptable driving,Katelyn,2/9/17 7:20,78,No,No,2/9/17 5:42,97,74,46
101829216,10143633,P04025-S00000685,2/9/17 7:37,480,distraction,glance_away,7.72,91,56,195,639,false positive,system error,andrew,2/9/17 7:39,198,Yes,Yes,2/9/17 5:06,151,208,129
130595846,12655646,Unit001,14/11/17 17:32,480,fatigue,fatigue,7.18,90,56,181,592,false positive,eyewear interference,Heather,14/11/17 17:35,160,Yes,Yes,43053.45,398,375,233
101830036,10145668,P04025-S00000503,2/9/17 7:42,480,fatigue,fatigue,1.62,88,55,40,130,false positive,acceptable driving,andrew,2/9/17 7:43,355,Yes,Yes,2/9/17 6:48,54,54,34
101481986,10112617,Unit010,1/9/17 6:13,480,distraction,glance_away,8.1,86,54,194,636,verified,distracted driving,Analyst 18,1/9/17 6:15,89,Yes,Yes,1/9/17 5:02,71,76,47
101506343,10115096,Unit022,1/9/17 8:09,480,distraction,glance_down,4.53,88,55,111,363,verified,distracted driving,Analyst 12,1/9/17 8:16,58,Yes,Yes,1/9/17 6:27,103,144,90
133008004,12864040,Unit001,19/11/17 18:14,480,distraction,glance_down,9.97,68,42,187,614,false positive,acceptable driving,Gianna,19/11/17 18:18,317,No,No,43058.62,200,202,125
101860623,10148554,P04025-S00008517,2/9/17 10:08,480,distraction,glance_down,5.88,61,38,99,325,false positive,acceptable driving,John,2/9/17 10:09,49,Yes,Yes,2/9/17 9:20,48,56,35
133072766,12869958,Unit001,19/11/17 22:40,480,distraction,glance_away,7.9,88,55,193,632,false positive,acceptable driving,Richard,19/11/17 22:44,234,No,No,43058.84,148,157,97
101891703,10148374,P04025-S00000901,2/9/17 11:21,480,distraction,glance_away,4.45,30,19,37,121,false positive,acceptable driving,Stefanie Mendoza,2/9/17 12:42,186,No,No,2/9/17 9:10,131,127,79
134951214,13029170,Unit001,23/11/17 14:28,480,distraction,glance_down,4.32,90,56,108,356,false positive,acceptable driving,Emma,23/11/17 15:39,342,No,No,43062.53,101,114,71
101905566,10149705,P04025-S00006856,2/9/17 12:02,480,fatigue,fatigue,1.57,57,36,25,82,false positive,yawning,Stefanie Mendoza,2/9/17 13:49,276,Yes,Yes,2/9/17 10:21,100,109,68
134952606,13029170,Unit001,23/11/17 14:31,480,fatigue,fatigue,17.98,91,56,453,1487,false positive,acceptable driving,Gianna,23/11/17 14:42,8,Yes,Yes,43062.53,105,119,74
101935030,10151899,P04025-S00000964,2/9/17 13:26,480,fatigue,fatigue,1.57,88,54,38,125,false positive,acceptable driving,John,2/9/17 16:23,142,Yes,Yes,2/9/17 12:31,54,77,48
101901388,10151911,P04025-S00008517,2/9/17 13:29,480,distraction,glance_down,4.38,92,57,112,367,false positive,acceptable driving,Stefanie Mendoza,2/9/17 13:30,307,Yes,Yes,2/9/17 12:32,57,48,30
101934579,10151899,P04025-S00000964,2/9/17 13:32,480,distraction,glance_away,5.98,88,54,146,478,false positive,acceptable driving,John,2/9/17 16:21,209,Yes,Yes,2/9/17 12:31,61,87,54
134953265,13029170,Unit001,23/11/17 14:33,480,fatigue,fatigue,2.62,91,57,66,217,false positive,acceptable driving,Darlene,23/11/17 14:45,9,Yes,Yes,43062.53,107,122,76
134953492,13029170,Unit001,23/11/17 14:33,480,fatigue,fatigue,8.45,91,57,213,700,false positive,acceptable driving,Darlene,23/11/17 14:45,9,Yes,Yes,43062.53,107,122,76
101908152,10143663,P04025-S00007309,2/9/17 14:01,480,fatigue,fatigue,7.23,90,56,181,595,false positive,yawning,Stefanie Mendoza,2/9/17 14:02,225,Yes,Yes,2/9/17 5:07,534,584,363
137958150,13280148,Unit001,29/11/17 20:40,480,distraction,glance_away,5.2,84,52,122,399,false positive,acceptable driving,Pidok,29/11/17 21:47,10,No,No,43068.84,32,36,22
101917116,10152107,P04025-S00000599,2/9/17 14:42,480,distraction,glance_away,4.28,49,31,59,192,false positive,acceptable driving,Stefanie Mendoza,2/9/17 14:47,139,No,No,2/9/17 12:45,117,140,87
101918803,10151911,P04025-S00008517,2/9/17 14:54,480,distraction,glance_down,4.28,90,56,107,351,false positive,eyewear interference,Stefanie Mendoza,2/9/17 14:56,332,Yes,Yes,2/9/17 12:32,142,149,92
101919580,10153104,P04025-S00008430,2/9/17 14:56,480,fatigue,fatigue,1.7,91,57,43,141,false positive,yawning,Stefanie Mendoza,2/9/17 14:59,204,Yes,Yes,2/9/17 13:45,71,102,63
101920586,10153104,P04025-S00008430,2/9/17 15:03,480,distraction,glance_away,4.42,91,56,111,364,false positive,acceptable driving,Stefanie Mendoza,2/9/17 15:04,180,No,No,2/9/17 13:45,78,112,70
101921113,10153104,P04025-S00008430,2/9/17 15:06,480,distraction,glance_away,6.25,89,55,154,506,false positive,acceptable driving,Stefanie Mendoza,2/9/17 15:07,179,No,No,2/9/17 13:45,81,117,73
102128016,10144438,P04025-S00001233,2/9/17 15:29,480,fatigue,fatigue,3.47,97,60,93,306,false positive,acceptable driving,Stefanie Mendoza,3/9/17 10:43,353,Yes,Yes,2/9/17 5:46,583,594,369
101925592,10154187,P04025-S00007309,2/9/17 15:29,480,distraction,glance_away,9.35,87,54,227,745,false positive,acceptable driving,Stefanie Mendoza,2/9/17 15:30,212,Yes,Yes,2/9/17 14:48,41,7,4
